Sample:float,Data:float,
0.0,20288.0,
1.0,16672.0,
2.0,10544.0,
3.0,4480.0,
4.0,624.0,
5.0,528.0,
6.0,4240.0,
7.0,10288.0,
8.0,16368.0,
9.0,20160.0,
10.0,20288.0,
11.0,16544.0,
12.0,10544.0,
13.0,4480.0,
14.0,608.0,
15.0,576.0,
16.0,4304.0,
17.0,10320.0,
18.0,16416.0,
19.0,20208.0,
20.0,20336.0,
21.0,16544.0,
22.0,10480.0,
23.0,4416.0,
24.0,656.0,
25.0,592.0,
26.0,4320.0,
27.0,10512.0,
28.0,16480.0,
29.0,20432.0,
30.0,20240.0,
31.0,16480.0,
32.0,10432.0,
33.0,4320.0,
34.0,608.0,
35.0,496.0,
36.0,4352.0,
37.0,10416.0,
38.0,16496.0,
39.0,20272.0,
40.0,20208.0,
41.0,16464.0,
42.0,10336.0,
43.0,4336.0,
44.0,576.0,
45.0,608.0,
46.0,4384.0,
47.0,10432.0,
48.0,16528.0,
49.0,20224.0,
50.0,20224.0,
51.0,16416.0,
52.0,10320.0,
53.0,4256.0,
54.0,576.0,
55.0,672.0,
56.0,4448.0,
57.0,10528.0,
58.0,16544.0,
59.0,20272.0,
60.0,20048.0,
61.0,16368.0,
62.0,10272.0,
63.0,4224.0,
64.0,624.0,
65.0,656.0,
66.0,4448.0,
67.0,10560.0,
68.0,16608.0,
69.0,20256.0,
70.0,20176.0,
71.0,16368.0,
72.0,10304.0,
73.0,4208.0,
74.0,544.0,
75.0,688.0,
76.0,4528.0,
77.0,10624.0,
78.0,16640.0,
79.0,20256.0,
80.0,20144.0,
81.0,16016.0,
82.0,10176.0,
83.0,4160.0,
84.0,480.0,
85.0,720.0,
86.0,4544.0,
87.0,10640.0,
88.0,16688.0,
89.0,20320.0,
90.0,20144.0,
91.0,16224.0,
92.0,10144.0,
93.0,4128.0,
94.0,544.0,
95.0,656.0,
96.0,4608.0,
97.0,10688.0,
98.0,16736.0,
99.0,20304.0,
100.0,20096.0,
101.0,16256.0,
102.0,10064.0,
103.0,4112.0,
104.0,464.0,
105.0,688.0,
106.0,4624.0,
107.0,10784.0,
108.0,16832.0,
109.0,20304.0,
110.0,20112.0,
111.0,16112.0,
112.0,10032.0,
113.0,4032.0,
114.0,512.0,
115.0,720.0,
116.0,4688.0,
117.0,10800.0,
118.0,16816.0,
119.0,20384.0,
120.0,20112.0,
121.0,16144.0,
122.0,9952.0,
123.0,4016.0,
124.0,464.0,
125.0,752.0,
126.0,4720.0,
127.0,10864.0,
128.0,16848.0,
129.0,20368.0,
130.0,20080.0,
131.0,16096.0,
132.0,9936.0,
133.0,3952.0,
134.0,464.0,
135.0,752.0,
136.0,4768.0,
137.0,10944.0,
138.0,16912.0,
139.0,20368.0,
140.0,20048.0,
141.0,16048.0,
142.0,9888.0,
143.0,3888.0,
144.0,448.0,
145.0,288.0,
146.0,4800.0,
147.0,10960.0,
148.0,16912.0,
149.0,20320.0,
150.0,20032.0,
151.0,15936.0,
152.0,9840.0,
153.0,3872.0,
154.0,416.0,
155.0,816.0,
156.0,4896.0,
157.0,11024.0,
158.0,16960.0,
159.0,20384.0,
160.0,20016.0,
161.0,15952.0,
162.0,9776.0,
163.0,3840.0,
164.0,384.0,
165.0,848.0,
166.0,4848.0,
167.0,11072.0,
168.0,17008.0,
169.0,20400.0,
170.0,19968.0,
171.0,15904.0,
172.0,9728.0,
173.0,3776.0,
174.0,432.0,
175.0,784.0,
176.0,4992.0,
177.0,11104.0,
178.0,17040.0,
179.0,20400.0,
180.0,19984.0,
181.0,15856.0,
182.0,9600.0,
183.0,3808.0,
184.0,384.0,
185.0,944.0,
186.0,4960.0,
187.0,11168.0,
188.0,17072.0,
189.0,20432.0,
190.0,19968.0,
191.0,15792.0,
192.0,9584.0,
193.0,3712.0,
194.0,352.0,
195.0,864.0,
196.0,4992.0,
197.0,11200.0,
198.0,17056.0,
199.0,20432.0,
200.0,20000.0,
201.0,15792.0,
202.0,9568.0,
203.0,3648.0,
204.0,336.0,
205.0,896.0,
206.0,5024.0,
207.0,11248.0,
208.0,16912.0,
209.0,20464.0,
210.0,19920.0,
211.0,15760.0,
212.0,9488.0,
213.0,3664.0,
214.0,352.0,
215.0,896.0,
216.0,5120.0,
217.0,11328.0,
218.0,17184.0,
219.0,20448.0,
220.0,19936.0,
221.0,15696.0,
222.0,9440.0,
223.0,3600.0,
224.0,320.0,
225.0,928.0,
226.0,5104.0,
227.0,11376.0,
228.0,17184.0,
229.0,20480.0,
230.0,19856.0,
231.0,15680.0,
232.0,9424.0,
233.0,3552.0,
234.0,304.0,
235.0,928.0,
236.0,5184.0,
237.0,11392.0,
238.0,17280.0,
239.0,20480.0,
240.0,19872.0,
241.0,15616.0,
242.0,9392.0,
243.0,3520.0,
244.0,304.0,
245.0,992.0,
246.0,5184.0,
247.0,11488.0,
248.0,17280.0,
249.0,20480.0,
250.0,19664.0,
251.0,15616.0,
252.0,9392.0,
253.0,3504.0,
254.0,288.0,
255.0,944.0,
256.0,5184.0,
257.0,11504.0,
258.0,17344.0,
259.0,20496.0,
260.0,19824.0,
261.0,15536.0,
262.0,9280.0,
263.0,3472.0,
264.0,304.0,
265.0,1008.0,
266.0,5328.0,
267.0,11568.0,
268.0,17392.0,
269.0,20544.0,
270.0,19808.0,
271.0,15472.0,
272.0,9232.0,
273.0,3424.0,
274.0,272.0,
275.0,1040.0,
276.0,5344.0,
277.0,11600.0,
278.0,17392.0,
279.0,20528.0,
280.0,19760.0,
281.0,15424.0,
282.0,9200.0,
283.0,3376.0,
284.0,304.0,
285.0,1040.0,
286.0,5376.0,
287.0,11664.0,
288.0,17456.0,
289.0,20544.0,
290.0,19760.0,
291.0,15440.0,
292.0,9072.0,
293.0,3360.0,
294.0,288.0,
295.0,1072.0,
296.0,5456.0,
297.0,11696.0,
298.0,17488.0,
299.0,20528.0,
300.0,19744.0,
301.0,15344.0,
302.0,9104.0,
303.0,3312.0,
304.0,288.0,
305.0,1056.0,
306.0,5472.0,
307.0,11888.0,
308.0,17456.0,
309.0,20576.0,
310.0,19664.0,
311.0,15280.0,
312.0,9088.0,
313.0,3264.0,
314.0,224.0,
315.0,1120.0,
316.0,5520.0,
317.0,11792.0,
318.0,17552.0,
319.0,20528.0,
320.0,19696.0,
321.0,15248.0,
322.0,8976.0,
323.0,3216.0,
324.0,224.0,
325.0,1136.0,
326.0,5568.0,
327.0,11888.0,
328.0,17568.0,
329.0,20576.0,
330.0,19680.0,
331.0,15232.0,
332.0,8928.0,
333.0,3216.0,
334.0,224.0,
335.0,1136.0,
336.0,5616.0,
337.0,11888.0,
338.0,17616.0,
339.0,20576.0,
340.0,19632.0,
341.0,15168.0,
342.0,8880.0,
343.0,3152.0,
344.0,224.0,
345.0,1120.0,
346.0,5696.0,
347.0,11936.0,
348.0,17680.0,
349.0,20608.0,
350.0,19600.0,
351.0,15104.0,
352.0,8816.0,
353.0,3136.0,
354.0,224.0,
355.0,1216.0,
356.0,5744.0,
357.0,11984.0,
358.0,17664.0,
359.0,20608.0,
360.0,19632.0,
361.0,15088.0,
362.0,8784.0,
363.0,2976.0,
364.0,272.0,
365.0,1184.0,
366.0,5696.0,
367.0,12016.0,
368.0,17728.0,
369.0,20624.0,
370.0,19584.0,
371.0,15072.0,
372.0,8688.0,
373.0,3072.0,
374.0,176.0,
375.0,1248.0,
376.0,5840.0,
377.0,12096.0,
378.0,17760.0,
379.0,20816.0,
380.0,19616.0,
381.0,14992.0,
382.0,8704.0,
383.0,3024.0,
384.0,192.0,
385.0,1232.0,
386.0,5856.0,
387.0,12144.0,
388.0,17840.0,
389.0,20624.0,
390.0,19536.0,
391.0,14992.0,
392.0,8624.0,
393.0,2976.0,
394.0,176.0,
395.0,1312.0,
396.0,5872.0,
397.0,12208.0,
398.0,17840.0,
399.0,20624.0,
400.0,19536.0,
401.0,14928.0,
402.0,8608.0,
403.0,2944.0,
404.0,160.0,
405.0,1264.0,
406.0,5904.0,
407.0,12272.0,
408.0,17840.0,
409.0,20640.0,
410.0,19472.0,
411.0,15280.0,
412.0,8560.0,
413.0,2960.0,
414.0,176.0,
415.0,1360.0,
416.0,5936.0,
417.0,12320.0,
418.0,17888.0,
419.0,20640.0,
420.0,19456.0,
421.0,14816.0,
422.0,8512.0,
423.0,2880.0,
424.0,192.0,
425.0,1328.0,
426.0,6032.0,
427.0,12336.0,
428.0,17984.0,
429.0,20624.0,
430.0,19440.0,
431.0,14784.0,
432.0,8448.0,
433.0,2848.0,
434.0,144.0,
435.0,1392.0,
436.0,6000.0,
437.0,12416.0,
438.0,17968.0,
439.0,20672.0,
440.0,19408.0,
441.0,14720.0,
442.0,8368.0,
443.0,2832.0,
444.0,160.0,
445.0,1344.0,
446.0,6112.0,
447.0,12432.0,
448.0,18032.0,
449.0,20640.0,
450.0,19424.0,
451.0,14688.0,
452.0,8352.0,
453.0,2816.0,
454.0,128.0,
455.0,1440.0,
456.0,6160.0,
457.0,12496.0,
458.0,18048.0,
459.0,20688.0,
460.0,19376.0,
461.0,14624.0,
462.0,8304.0,
463.0,2752.0,
464.0,144.0,
465.0,1472.0,
466.0,6224.0,
467.0,12496.0,
468.0,18064.0,
469.0,20656.0,
470.0,19360.0,
471.0,14608.0,
472.0,8240.0,
473.0,2720.0,
474.0,160.0,
475.0,1488.0,
476.0,6256.0,
477.0,12640.0,
478.0,18048.0,
479.0,20672.0,
480.0,19280.0,
481.0,14560.0,
482.0,8176.0,
483.0,2704.0,
484.0,112.0,
485.0,1504.0,
486.0,6288.0,
487.0,12672.0,
488.0,18160.0,
489.0,20688.0,
490.0,19312.0,
491.0,14480.0,
492.0,8176.0,
493.0,2672.0,
494.0,112.0,
495.0,1552.0,
496.0,6320.0,
497.0,12704.0,
498.0,18288.0,
499.0,20720.0,
500.0,19248.0,
501.0,14496.0,
502.0,8112.0,
503.0,2640.0,
504.0,112.0,
505.0,1568.0,
506.0,6368.0,
507.0,12720.0,
508.0,18240.0,
509.0,20688.0,
510.0,19248.0,
511.0,14400.0,
512.0,8048.0,
513.0,2624.0,
514.0,128.0,
515.0,1200.0,
516.0,6416.0,
517.0,12800.0,
518.0,18240.0,
519.0,20720.0,
520.0,19184.0,
521.0,14432.0,
522.0,7984.0,
523.0,2608.0,
524.0,112.0,
525.0,1600.0,
526.0,6480.0,
527.0,12848.0,
528.0,18224.0,
529.0,20704.0,
530.0,19200.0,
531.0,14352.0,
532.0,7984.0,
533.0,2528.0,
534.0,128.0,
535.0,1648.0,
536.0,6528.0,
537.0,12896.0,
538.0,18320.0,
539.0,20720.0,
540.0,19136.0,
541.0,14288.0,
542.0,7872.0,
543.0,2464.0,
544.0,96.0,
545.0,1664.0,
546.0,6560.0,
547.0,12912.0,
548.0,18352.0,
549.0,20672.0,
550.0,19136.0,
551.0,14240.0,
552.0,7856.0,
553.0,2448.0,
554.0,144.0,
555.0,1664.0,
556.0,6656.0,
557.0,13008.0,
558.0,18352.0,
559.0,20704.0,
560.0,19104.0,
561.0,14192.0,
562.0,7760.0,
563.0,2464.0,
564.0,0.0,
565.0,1728.0,
566.0,6656.0,
567.0,12992.0,
568.0,18384.0,
569.0,20720.0,
570.0,19104.0,
571.0,14128.0,
572.0,7792.0,
573.0,2496.0,
574.0,112.0,
575.0,1712.0,
576.0,6720.0,
577.0,13072.0,
578.0,18432.0,
579.0,20752.0,
580.0,19024.0,
581.0,14096.0,
582.0,7712.0,
583.0,2400.0,
584.0,96.0,
585.0,1776.0,
586.0,6784.0,
587.0,13120.0,
588.0,18464.0,
589.0,20736.0,
590.0,19056.0,
591.0,14016.0,
592.0,7648.0,
593.0,2336.0,
594.0,128.0,
595.0,1792.0,
596.0,6832.0,
597.0,13184.0,
598.0,18416.0,
599.0,20736.0,
600.0,18992.0,
601.0,14016.0,
602.0,7616.0,
603.0,2320.0,
604.0,64.0,
605.0,1840.0,
606.0,6848.0,
607.0,13184.0,
608.0,18512.0,
609.0,20736.0,
610.0,18960.0,
611.0,13968.0,
612.0,7584.0,
613.0,2240.0,
614.0,112.0,
615.0,1872.0,
616.0,6912.0,
617.0,13248.0,
618.0,18560.0,
619.0,20704.0,
620.0,18992.0,
621.0,13936.0,
622.0,8400.0,
623.0,2224.0,
624.0,48.0,
625.0,1904.0,
626.0,6944.0,
627.0,13280.0,
628.0,18560.0,
629.0,20704.0,
630.0,18928.0,
631.0,13872.0,
632.0,7584.0,
633.0,2240.0,
634.0,0.0,
635.0,1936.0,
636.0,7008.0,
637.0,13360.0,
638.0,18640.0,
639.0,20752.0,
640.0,18880.0,
641.0,13824.0,
642.0,7424.0,
643.0,2192.0,
644.0,48.0,
645.0,1936.0,
646.0,7008.0,
647.0,13440.0,
648.0,18640.0,
649.0,20736.0,
650.0,18864.0,
651.0,13776.0,
652.0,7424.0,
653.0,2128.0,
654.0,112.0,
655.0,1952.0,
656.0,7104.0,
657.0,13456.0,
658.0,18672.0,
659.0,20736.0,
660.0,18848.0,
661.0,13712.0,
662.0,7328.0,
663.0,2160.0,
664.0,112.0,
665.0,1984.0,
666.0,7104.0,
667.0,13520.0,
668.0,18704.0,
669.0,20736.0,
670.0,18816.0,
671.0,13632.0,
672.0,7296.0,
673.0,2096.0,
674.0,144.0,
675.0,2192.0,
676.0,7120.0,
677.0,13536.0,
678.0,18736.0,
679.0,20736.0,
680.0,18784.0,
681.0,13616.0,
682.0,7248.0,
683.0,2064.0,
684.0,96.0,
685.0,2080.0,
686.0,7200.0,
687.0,13568.0,
688.0,18736.0,
689.0,20704.0,
690.0,18736.0,
691.0,13552.0,
692.0,7056.0,
693.0,2016.0,
694.0,80.0,
695.0,2064.0,
696.0,7264.0,
697.0,13648.0,
698.0,18800.0,
699.0,20704.0,
700.0,18752.0,
701.0,13504.0,
702.0,7216.0,
703.0,1984.0,
704.0,80.0,
705.0,2112.0,
706.0,7296.0,
707.0,13696.0,
708.0,18784.0,
709.0,20752.0,
710.0,18656.0,
711.0,13488.0,
712.0,7088.0,
713.0,1984.0,
714.0,64.0,
715.0,2144.0,
716.0,7376.0,
717.0,13712.0,
718.0,18864.0,
719.0,20688.0,
720.0,18656.0,
721.0,13424.0,
722.0,7072.0,
723.0,1936.0,
724.0,64.0,
725.0,2096.0,
726.0,7408.0,
727.0,13824.0,
728.0,18864.0,
729.0,20720.0,
730.0,18592.0,
731.0,13392.0,
732.0,6976.0,
733.0,1936.0,
734.0,96.0,
735.0,2160.0,
736.0,7456.0,
737.0,13840.0,
738.0,18784.0,
739.0,20720.0,
740.0,18608.0,
741.0,13328.0,
742.0,6992.0,
743.0,1936.0,
744.0,96.0,
745.0,2240.0,
746.0,7520.0,
747.0,13840.0,
