段,LAB 9 地址,LAB 9 长度,LAB 10 地址,LAB 10 长度
.adc_cal,0x380080,0x000007,0x380080,0x000007
AdcMirrorFile,0x000b00,0x000010,0x000b00,0x000010
AdcRegsFile,0x007100,0x00001e,0x007100,0x00001e
.cinit,0x008000,0x000090,0x008000,0x000041
.cio,0x00c380,0x000120,无,无
codestart,0x000000,0x000002,0x000000,0x000002
CpuTimer0RegsFile,0x000c00,0x000008,0x000c00,0x000008
CpuTimer1RegsFile,0x000c08,0x000008,0x000c08,0x000008
CpuTimer2RegsFile,0x000c10,0x000008,0x000c10,0x000008
csmpasswds,0x33fff8,0x000008,0x33fff8,0x000008
CsmPwlFile,0x33fff8,0x000008,0x33fff8,0x000008
CsmRegsFile,0x000ae0,0x000010,0x000ae0,0x000010
csm_rsvd,0x33ff80,0x000076,0x33ff80,0x000076
DevEmuRegsFile,0x000880,0x0000d0,0x000880,0x0000d0
DmaRegsFile,0x001000,0x0000e0,0x001000,0x0000e0
.ebss,0x00c000,0x000363,0x00c000,0x000032
ECanaLAMRegsFile,0x006040,0x000040,0x006040,0x000040
ECanaMboxesFile,0x006100,0x000100,0x006100,0x000100
ECanaMOTORegsFile,0x0060c0,0x000040,0x0060c0,0x000040
ECanaMOTSRegsFile,0x006080,0x000040,0x006080,0x000040
ECanaRegsFile,0x006000,0x000034,0x006000,0x000034
ECanbLAMRegsFile,0x006240,0x000040,0x006240,0x000040
ECanbMboxesFile,0x006300,0x000100,0x006300,0x000100
ECanbMOTORegsFile,0x0062c0,0x000040,0x0062c0,0x000040
ECanbMOTSRegsFile,0x006280,0x000040,0x006280,0x000040
ECanbRegsFile,0x006200,0x000034,0x006200,0x000034
ECap1RegsFile,0x006a00,0x000020,0x006a00,0x000020
ECap2RegsFile,0x006a20,0x000020,0x006a20,0x000020
ECap3RegsFile,0x006a40,0x000020,0x006a40,0x000020
ECap4RegsFile,0x006a60,0x000020,0x006a60,0x000020
ECap5RegsFile,0x006a80,0x000020,0x006a80,0x000020
ECap6RegsFile,0x006aa0,0x000020,0x006aa0,0x000020
.econst,0x00d000,0x00025a,0x00d000,0x000100
EPwm1RegsFile,0x006800,0x000022,0x006800,0x000022
EPwm2RegsFile,0x006840,0x000022,0x006840,0x000022
EPwm3RegsFile,0x006880,0x000022,0x006880,0x000022
EPwm4RegsFile,0x0068c0,0x000022,0x0068c0,0x000022
EPwm5RegsFile,0x006900,0x000022,0x006900,0x000022
EPwm6RegsFile,0x006940,0x000022,0x006940,0x000022
EQep1RegsFile,0x006b00,0x000040,0x006b00,0x000040
EQep2RegsFile,0x006b40,0x000040,0x006b40,0x000040
FlashRegsFile,0x000a80,0x000008,0x000a80,0x000008
GpioCtrlRegsFile,0x006f80,0x00002e,0x006f80,0x00002e
GpioDataRegsFile,0x006fc0,0x000020,0x006fc0,0x000020
GpioIntRegsFile,0x006fe0,0x00000a,0x006fe0,0x00000a
I2caRegsFile,0x007900,0x000022,0x007900,0x000022
McbspaRegsFile,0x005000,0x000025,0x005000,0x000025
McbspbRegsFile,0x005040,0x000025,0x005040,0x000025
PieCtrlRegsFile,0x000ce0,0x00001a,0x000ce0,0x00001a
PieVectTableFile,0x000d00,0x000100,0x000d00,0x000100
.pinit,0x008000,0x000000,0x008000,0x000000
ramfuncs,0x008090,0x00001f,0x008041,0x00001f
.reset,0x3fffc0,0x000002,0x3fffc0,0x000002
SciaRegsFile,0x007050,0x000010,0x007050,0x000010
ScibRegsFile,0x007750,0x000010,0x007750,0x000010
ScicRegsFile,0x007770,0x000010,0x007770,0x000010
SpiaRegsFile,0x007040,0x000010,0x007040,0x000010
.stack,0x00e000,0x000300,0x000400,0x000300
SysCtrlRegsFile,0x007010,0x000020,0x007010,0x000020
.sysmem,0x000400,0x000400,无,无
.text,0x009000,0x002a2e,0x009000,0x0013db
XintfRegsFile,0x000b20,0x00001e,0x000b20,0x00001e
XIntruptRegsFile,0x007070,0x000010,0x007070,0x000010
